Kontenplan;ID;Buchungskonto;Bezeichnung;Übergeordnetes Konto;Kontenklasse;Benutzerdefinierte Kontengruppe;Status
SKR42;;03400;Geschäftsbauten;ref:03400;0: Anlagevermögenskonten;;0
SKR42;;03500;Fabrikbauten;ref:03500;0: Anlagevermögenskonten;;0
SKR42;;03600;Wohnbauten;ref:03600;0: Anlagevermögenskonten;;0
SKR42;;03700;Andere Bauten;ref:03700;0: Anlagevermögenskonten;;0
SKR42;;03800;Garagen;ref:03800;0: Anlagevermögenskonten;;0
SKR42;;03900;Außenanlagen;ref:03900;0: Anlagevermögenskonten;;0
SKR42;;03950;Hof- und Wegebefestigungen;ref:03950;0: Anlagevermögenskonten;;0
SKR42;;03980;Einrichtungen für Geschäfts-, Wohn- und andere Bauten;ref:03980;0: Anlagevermögenskonten;;0
SKR42;;04000;Technische Anlagen und Maschinen;ref:04000;0: Anlagevermögenskonten;;0
SKR42;;04200;Technische Anlagen;ref:04200;0: Anlagevermögenskonten;;0
SKR42;;04400;Maschinen;ref:04400;0: Anlagevermögenskonten;;0
SKR42;;04500;Transportanlagen und Ähnliches;ref:04500;0: Anlagevermögenskonten;;0
SKR42;;04600;Maschinengebundene Werkzeuge;ref:04600;0: Anlagevermögenskonten;;0
SKR42;;04700;Betriebsvorrichtungen;ref:04700;0: Anlagevermögenskonten;;0
SKR42;;05000;Andere Anlagen, Betriebs- und Geschäftsausstattung;ref:05000;0: Anlagevermögenskonten;;0
SKR42;;05100;Andere Anlagen;ref:05100;0: Anlagevermögenskonten;;0
SKR42;;05200;Pkw;ref:05200;0: Anlagevermögenskonten;;0
SKR42;;05250;Kraftfahrzeug-Anhänger;ref:05250;0: Anlagevermögenskonten;;0
SKR42;;05400;Lkw;ref:05400;0: Anlagevermögenskonten;;0
SKR42;;05600;Sonstige Transportmittel;ref:05600;0: Anlagevermögenskonten;;0
SKR42;;05700;Pflegemaschinen;ref:05700;0: Anlagevermögenskonten;;0
SKR42;;06200;Werkzeuge;ref:06200;0: Anlagevermögenskonten;;0
SKR42;;06300;Betriebsausstattung;ref:06300;0: Anlagevermögenskonten;;0
SKR42;;06310;Kleidung;ref:06310;0: Anlagevermögenskonten;;0
SKR42;;06320;Geräte;ref:06320;0: Anlagevermögenskonten;;0
SKR42;;06350;Geschäftsausstattung;ref:06350;0: Anlagevermögenskonten;;0
SKR42;;06400;Ladeneinrichtung;ref:06400;0: Anlagevermögenskonten;;0
SKR42;;06500;Büroeinrichtung;ref:06500;0: Anlagevermögenskonten;;0
SKR42;;06600;Gerüst- und Schalungsmaterial;ref:06600;0: Anlagevermögenskonten;;0
SKR42;;06700;Geringwertige Wirtschaftsgüter;ref:06700;0: Anlagevermögenskonten;;0
SKR42;;06750;Wirtschaftsgüter (Sammelposten);ref:06750;0: Anlagevermögenskonten;;0
SKR42;;06800;Einbauten in fremde Grundstücke;ref:06800;0: Anlagevermögenskonten;;0
SKR42;;06900;Sonstige Betriebs- und Geschäftsausstattung;ref:06900;0: Anlagevermögenskonten;;0
SKR42;;07000;Geleistete Anzahlungen und Anlagen im Bau;ref:07000;0: Anlagevermögenskonten;;0
SKR42;;07050;Anzahlungen auf Grund und Boden;ref:07050;0: Anlagevermögenskonten;;0
SKR42;;07100;Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken;ref:07100;0: Anlagevermögenskonten;;0
SKR42;;07200;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken;ref:07200;0: Anlagevermögenskonten;;0
SKR42;;07250;Wohnbauten im Bau auf eigenen Grundstücken;ref:07250;0: Anlagevermögenskonten;;0
SKR42;;07350;Anzahlungen auf Wohnbauten auf eigenen Grundstücken;ref:07350;0: Anlagevermögenskonten;;0
SKR42;;07400;Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken;ref:07400;0: Anlagevermögenskonten;;0
SKR42;;07500;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken;ref:07500;0: Anlagevermögenskonten;;0
SKR42;;07550;Wohnbauten im Bau auf fremden Grundstücken;ref:07550;0: Anlagevermögenskonten;;0
SKR42;;07650;Anzahlungen auf Wohnbauten auf fremden Grundstücken;ref:07650;0: Anlagevermögenskonten;;0
SKR42;;07700;Technische Anlagen und Maschinen im Bau;ref:07700;0: Anlagevermögenskonten;;0
SKR42;;07800;Anzahlungen auf technische Anlagen und Maschinen;ref:07800;0: Anlagevermögenskonten;;0
SKR42;;07850;Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau;ref:07850;0: Anlagevermögenskonten;;0
SKR42;;07950;Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung;ref:07950;0: Anlagevermögenskonten;;0
SKR42;;08000;Anteile an verbundenen Unternehmen (Anlagevermögen);ref:08000;0: Anlagevermögenskonten;;0
SKR42;;08030;Anteile an verbundenen Unternehmen, Personengesellschaften;ref:08030;0: Anlagevermögenskonten;;0
SKR42;;08040;Anteile an verbundenen Unternehmen, Kapitalgesellschaften;ref:08040;0: Anlagevermögenskonten;;0
SKR42;;08050;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften;ref:08050;0: Anlagevermögenskonten;;0
SKR42;;08080;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften;ref:08080;0: Anlagevermögenskonten;;0
SKR42;;08090;Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft;ref:08090;0: Anlagevermögenskonten;;0
SKR42;;08100;Ausleihungen an verbundene Unternehmen;ref:08100;0: Anlagevermögenskonten;;0
SKR42;;08130;Ausleihungen an verbundene Unternehmen, Personengesellschaften;ref:08130;0: Anlagevermögenskonten;;0
SKR42;;08140;Ausleihungen an verbundene Unternehmen, Kapitalgesellschaften;ref:08140;0: Anlagevermögenskonten;;0
SKR42;;08150;Ausleihungen an verbundene Unternehmen, Einzelunternehmen;ref:08150;0: Anlagevermögenskonten;;0
SKR42;;08200;Beteiligungen;ref:08200;0: Anlagevermögenskonten;;0
SKR42;;08300;Typisch stille Beteiligungen;ref:08300;0: Anlagevermögenskonten;;0
SKR42;;08400;Atypisch stille Beteiligungen;ref:08400;0: Anlagevermögenskonten;;0
SKR42;;08500;Beteiligungen an Kapitalgesellschaften;ref:08500;0: Anlagevermögenskonten;;0
SKR42;;08600;Beteiligungen an Personengesellschaften;ref:08600;0: Anlagevermögenskonten;;0
SKR42;;08800;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;ref:08800;0: Anlagevermögenskonten;;0
SKR42;;08830;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Personengesellschaften;ref:08830;0: Anlagevermögenskonten;;0
SKR42;;08850;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Kapitalgesellschaften;ref:08850;0: Anlagevermögenskonten;;0
SKR42;;09000;Wertpapiere des Anlagevermögens;ref:09000;0: Anlagevermögenskonten;;0
SKR42;;09100;Wertpapiere mit Gewinnbeteiligungsansprüchen, die dem Teileinkünfteverfahren unterliegen;ref:09100;0: Anlagevermögenskonten;;0
SKR42;;09200;Festverzinsliche Wertpapiere;ref:09200;0: Anlagevermögenskonten;;0
SKR42;;09300;Übrige sonstige Ausleihungen;ref:09300;0: Anlagevermögenskonten;;0
SKR42;;09350;Sonstige Ausleihungen - geleistete Kautionen;ref:09350;0: Anlagevermögenskonten;;0
SKR42;;09400;Darlehen;ref:09400;0: Anlagevermögenskonten;;0
SKR42;;09800;Genossenschaftsanteile zum langfristigen Verbleib;ref:09800;0: Anlagevermögenskonten;;0
SKR42;;09900;Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib;ref:09900;0: Anlagevermögenskonten;;0
SKR42;;10000;Roh-, Hilfs- und Betriebsstoffe (Bestand);ref:10000;1: Umlaufvermögenskonten;;0
SKR42;;10400;Unfertige Erzeugnisse, unfertige Leistungen (Bestand);ref:10400;1: Umlaufvermögenskonten;;0
SKR42;;11100;Fertige Erzeugnisse (Bestand);ref:11100;1: Umlaufvermögenskonten;;0
SKR42;;11800;Geleistete Anzahlungen auf Vorräte;ref:11800;1: Umlaufvermögenskonten;;0
SKR42;;11810;Geleistete Anzahlungen 7 % Vorsteuer;ref:11810;1: Umlaufvermögenskonten;;0
SKR42;;11820;Geleistete Anzahlungen 5 % Vorsteuer;ref:11820;1: Umlaufvermögenskonten;;0
SKR42;;11840;Geleistete Anzahlungen 16 % Vorsteuer;ref:11840;1: Umlaufvermögenskonten;;0
SKR42;;11860;Geleistete Anzahlungen 19 % Vorsteuer;ref:11860;1: Umlaufvermögenskonten;;0
SKR42;;11900;Erhaltene Anzahlungen auf Bestellungen (von Vorräten offen abgesetzt);ref:11900;1: Umlaufvermögenskonten;;0
SKR42;;12000;Forderungen aus Lieferungen und Leistungen;ref:12000;1: Umlaufvermögenskonten;;0
SKR42;;12100;Forderungen aus Lieferungen und Leistungen ohne Kontokorrent;ref:12100;1: Umlaufvermögenskonten;;0
SKR42;;12150;Forderungen aus Lieferungen und Leistungen zum allgemeinen Umsatzsteuersatz oder eines Kleinunternehmers (EÜR);ref:12150;1: Umlaufvermögenskonten;;0
SKR42;;12160;Forderungen aus Lieferungen und Leistungen zum ermäßigten Umsatzsteuersatz (EÜR);ref:12160;1: Umlaufvermögenskonten;;0
SKR42;;12170;Forderungen aus steuerfreien oder nicht steuerbaren Lieferungen und Leistungen (EÜR);ref:12170;1: Umlaufvermögenskonten;;0
SKR42;;12180;Forderungen aus Lieferungen und Leistungen nach Durchschnittssätzen nach § 24 UStG (EÜR);ref:12180;1: Umlaufvermögenskonten;;0
SKR42;;12190;Gegenkonto 12150 - 12189 bei Aufteilung der Forderungen nach Steuersätzen (EÜR);ref:12190;1: Umlaufvermögenskonten;;0
SKR42;;12200;Forderungen nach § 11 Abs. 1 S. 2 EStG für § 4 Abs. 3 EStG;ref:12200;1: Umlaufvermögenskonten;;0
SKR42;;12210;Forderungen aus Lieferungen und Leistungen ohne Kontokorrent - Restlaufzeit bis 1 Jahr;ref:12210;1: Umlaufvermögenskonten;;0
SKR42;;12300;Wechsel aus Lieferungen und Leistungen;ref:12300;1: Umlaufvermögenskonten;;0
SKR42;;12350;Wechsel aus Lieferungen und Leistungen, bundesbankfähig;ref:12350;1: Umlaufvermögenskonten;;0
SKR42;;12400;Zweifelhafte Forderungen;ref:12400;1: Umlaufvermögenskonten;;0
SKR42;;12590;Gegenkonto 12210 - 12299, 12400 - 12459, 12700 - 12759, 12900 - 12979 bei Aufteilung Debitorenkonto;ref:12590;1: Umlaufvermögenskonten;;0
SKR42;;12600;Forderungen gegen verbundene Unternehmen;ref:12600;1: Umlaufvermögenskonten;;0
SKR42;;12660;Besitzwechsel gegen verbundene Unternehmen;ref:12660;1: Umlaufvermögenskonten;;0
SKR42;;12690;Besitzwechsel gegen verbundene Unternehmen, bundesbankfähig;ref:12690;1: Umlaufvermögenskonten;;0
SKR42;;12700;Forderungen aus Lieferungen und Leistungen gegen verbundene Unternehmen;ref:12700;1: Umlaufvermögenskonten;;0
SKR42;;12800;Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;ref:12800;1: Umlaufvermögenskonten;;0
SKR42;;12860;Besitzwechsel gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;ref:12860;1: Umlaufvermögenskonten;;0
SKR42;;12890;Besitzwechsel gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht, bundesbankfähig;ref:12890;1: Umlaufvermögenskonten;;0
SKR42;;12900;Forderungen aus Lieferungen und Leistungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;ref:12900;1: Umlaufvermögenskonten;;0
SKR42;;13000;Sonstige Vermögensgegenstände;ref:13000;1: Umlaufvermögenskonten;;0
SKR42;;13100;Forderungen gegen Vorstandsmitglieder und Geschäftsführer;ref:13100;1: Umlaufvermögenskonten;;0
SKR42;;13200;Forderungen gegen Aufsichtsratsund Beiratsmitglieder;ref:13200;1: Umlaufvermögenskonten;;0
SKR42;;13400;Forderungen gegen Personal aus Lohn- und Gehaltsabrechnung;ref:13400;1: Umlaufvermögenskonten;;0
SKR42;;13500;Kautionen;ref:13500;1: Umlaufvermögenskonten;;0
SKR42;;13600;Darlehen;ref:13600;1: Umlaufvermögenskonten;;0
SKR42;;13650;Forderungen aus Gewerbesteuerüberzahlungen;ref:13650;1: Umlaufvermögenskonten;;0
SKR42;;13660;Körperschaftsteuerrückforderung;ref:13660;1: Umlaufvermögenskonten;;0
SKR42;;13670;Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag;ref:13670;1: Umlaufvermögenskonten;;0
SKR42;;13680;Forderungen gegenüber Bundesagentur für Arbeit;ref:13680;1: Umlaufvermögenskonten;;0
SKR42;;13690;Forderungen gegenüber Krankenkassen aus Aufwendungsausgleichsgesetz;ref:13690;1: Umlaufvermögenskonten;;0
SKR42;;13700;Durchlaufende Posten;ref:13700;1: Umlaufvermögenskonten;;0
SKR42;;13720;Geldtransit;ref:13720;1: Umlaufvermögenskonten;;0
SKR42;;13740;Fremdgeld;ref:13740;1: Umlaufvermögenskonten;;0
SKR42;;13750;Agenturwarenabrechnung;ref:13750;1: Umlaufvermögenskonten;;0
SKR42;;13900;GmbH-Anteile zum kurzfristigen Verbleib;ref:13900;1: Umlaufvermögenskonten;;0
SKR42;;14000;Abziehbare Vorsteuer;ref:14000;1: Umlaufvermögenskonten;;0
SKR42;;14010;Abziehbare Vorsteuer 7 %;ref:14010;1: Umlaufvermögenskonten;;0
SKR42;;14060;Abziehbare Vorsteuer 19 %;ref:14060;1: Umlaufvermögenskonten;;0
SKR42;;14100;Abziehbare Vorsteuer nach § 13b UStG;ref:14100;1: Umlaufvermögenskonten;;0
SKR42;;14160;Abziehbare Vorsteuer nach § 13b UStG 19 %;ref:14160;1: Umlaufvermögenskonten;;0
SKR42;;14200;Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb;ref:14200;1: Umlaufvermögenskonten;;0
SKR42;;14260;Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb 19 %;ref:14260;1: Umlaufvermögenskonten;;0
SKR42;;14290;Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne Umsatzsteuer-Identifikationsnummer;ref:14290;1: Umlaufvermögenskonten;;0
SKR42;;14300;Aufzuteilende Vorsteuer;ref:14300;1: Umlaufvermögenskonten;;0
SKR42;;14310;Aufzuteilende Vorsteuer 7 %;ref:14310;1: Umlaufvermögenskonten;;0
SKR42;;14360;Aufzuteilende Vorsteuer 19 %;ref:14360;1: Umlaufvermögenskonten;;0
SKR42;;14400;Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG;ref:14400;1: Umlaufvermögenskonten;;0
SKR42;;12210;Forderungen aus Lieferungen und Leistungen ohne Kontokorrent - Restlaufzeit bis 1 Jahr;ref:12210;1: Umlaufvermögenskonten;;0
SKR42;;12300;Wechsel aus Lieferungen und Leistungen;ref:12300;1: Umlaufvermögenskonten;;0
SKR42;;12350;Wechsel aus Lieferungen und Leistungen, bundesbankfähig;ref:12350;1: Umlaufvermögenskonten;;0
SKR42;;12400;Zweifelhafte Forderungen;ref:12400;1: Umlaufvermögenskonten;;0
SKR42;;12590;Gegenkonto 12210 - 12299, 12400 - 12459, 12700 - 12759, 12900 - 12979 bei Aufteilung Debitorenkonto;ref:12590;1: Umlaufvermögenskonten;;0
SKR42;;12600;Forderungen gegen verbundene Unternehmen;ref:12600;1: Umlaufvermögenskonten;;0
SKR42;;12660;Besitzwechsel gegen verbundene Unternehmen;ref:12660;1: Umlaufvermögenskonten;;0
SKR42;;12690;Besitzwechsel gegen verbundene Unternehmen, bundesbankfähig;ref:12690;1: Umlaufvermögenskonten;;0
SKR42;;12700;Forderungen aus Lieferungen und Leistungen gegen verbundene Unternehmen;ref:12700;1: Umlaufvermögenskonten;;0
SKR42;;12800;Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;ref:12800;1: Umlaufvermögenskonten;;0
SKR42;;12860;Besitzwechsel gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;ref:12860;1: Umlaufvermögenskonten;;0
SKR42;;12890;Besitzwechsel gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht, bundesbankfähig;ref:12890;1: Umlaufvermögenskonten;;0
SKR42;;12900;Forderungen aus Lieferungen und Leistungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;ref:12900;1: Umlaufvermögenskonten;;0
SKR42;;13000;Sonstige Vermögensgegenstände;ref:13000;1: Umlaufvermögenskonten;;0
SKR42;;13100;Forderungen gegen Vorstandsmitglieder und Geschäftsführer;ref:13100;1: Umlaufvermögenskonten;;0
SKR42;;13200;Forderungen gegen Aufsichtsratsund Beiratsmitglieder;ref:13200;1: Umlaufvermögenskonten;;0
SKR42;;13400;Forderungen gegen Personal aus Lohn- und Gehaltsabrechnung;ref:13400;1: Umlaufvermögenskonten;;0
SKR42;;13500;Kautionen;ref:13500;1: Umlaufvermögenskonten;;0
SKR42;;13600;Darlehen;ref:13600;1: Umlaufvermögenskonten;;0
SKR42;;13650;Forderungen aus Gewerbesteuerüberzahlungen;ref:13650;1: Umlaufvermögenskonten;;0
SKR42;;13660;Körperschaftsteuerrückforderung;ref:13660;1: Umlaufvermögenskonten;;0
SKR42;;13670;Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag;ref:13670;1: Umlaufvermögenskonten;;0
SKR42;;13680;Forderungen gegenüber Bundesagentur für Arbeit;ref:13680;1: Umlaufvermögenskonten;;0
SKR42;;13690;Forderungen gegenüber Krankenkassen aus Aufwendungsausgleichsgesetz;ref:13690;1: Umlaufvermögenskonten;;0
SKR42;;13700;Durchlaufende Posten;ref:13700;1: Umlaufvermögenskonten;;0
SKR42;;13720;Geldtransit;ref:13720;1: Umlaufvermögenskonten;;0
SKR42;;13740;Fremdgeld;ref:13740;1: Umlaufvermögenskonten;;0
SKR42;;13750;Agenturwarenabrechnung;ref:13750;1: Umlaufvermögenskonten;;0
SKR42;;13900;GmbH-Anteile zum kurzfristigen Verbleib;ref:13900;1: Umlaufvermögenskonten;;0
SKR42;;14000;Abziehbare Vorsteuer;ref:14000;1: Umlaufvermögenskonten;;0
SKR42;;14010;Abziehbare Vorsteuer 7 %;ref:14010;1: Umlaufvermögenskonten;;0
SKR42;;14060;Abziehbare Vorsteuer 19 %;ref:14060;1: Umlaufvermögenskonten;;0
SKR42;;14100;Abziehbare Vorsteuer nach § 13b UStG;ref:14100;1: Umlaufvermögenskonten;;0
SKR42;;14160;Abziehbare Vorsteuer nach § 13b UStG 19 %;ref:14160;1: Umlaufvermögenskonten;;0
SKR42;;14200;Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb;ref:14200;1: Umlaufvermögenskonten;;0
SKR42;;14260;Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb 19 %;ref:14260;1: Umlaufvermögenskonten;;0
SKR42;;14290;Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne Umsatzsteuer-Identifikationsnummer;ref:14290;1: Umlaufvermögenskonten;;0
SKR42;;14300;Aufzuteilende Vorsteuer;ref:14300;1: Umlaufvermögenskonten;;0
SKR42;;14310;Aufzuteilende Vorsteuer 7 %;ref:14310;1: Umlaufvermögenskonten;;0
SKR42;;14360;Aufzuteilende Vorsteuer 19 %;ref:14360;1: Umlaufvermögenskonten;;0
SKR42;;14400;Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG;ref:14400;1: Umlaufvermögenskonten;;0
SKR42;;14460;Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG 19 %;ref:14460;1: Umlaufvermögenskonten;;0
SKR42;;14500;Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb;ref:14500;1: Umlaufvermögenskonten;;0
SKR42;;14560;Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb 19 %;ref:14560;1: Umlaufvermögenskonten;;0
SKR42;;14590;Vorsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts;ref:14590;1: Umlaufvermögenskonten;;0
SKR42;;14610;Forderungen aus UmsatzsteuerVorauszahlungen;ref:14610;1: Umlaufvermögenskonten;;0
SKR42;;14620;Umsatzsteuerforderungen Vorjahr;ref:14620;1: Umlaufvermögenskonten;;0
SKR42;;14630;Umsatzsteuerforderungen frühere Jahre;ref:14630;1: Umlaufvermögenskonten;;0
SKR42;;14640;Nachträglich abziehbare Vorsteuer nach § 15a Abs. 2 UStG;ref:14640;1: Umlaufvermögenskonten;;0
SKR42;;14690;Steuererstattungsansprüche gegenüber anderen Ländern;ref:14690;1: Umlaufvermögenskonten;;0
SKR42;;14700;Nachträglich abziehbare Vorsteuer nach § 15a Abs. 1 UStG, bewegliche Wirtschaftsgüter;ref:14700;1: Umlaufvermögenskonten;;0
SKR42;;14710;Nachträglich abziehbare Vorsteuer nach § 15a Abs. 1 UStG, unbewegliche Wirtschaftsgüter;ref:14710;1: Umlaufvermögenskonten;;0
SKR42;;14720;Zurückzuzahlende Vorsteuer nach § 15a Abs. 1 UStG, bewegliche Wirtschaftsgüter;ref:14720;1: Umlaufvermögenskonten;;0
SKR42;;14730;Zurückzuzahlende Vorsteuer nach § 15a Abs. 1 UStG, unbewegliche Wirtschaftsgüter;ref:14730;1: Umlaufvermögenskonten;;0
SKR42;;14740;Zurückzuzahlende Vorsteuer nach § 15a Abs. 2 UStG;ref:14740;1: Umlaufvermögenskonten;;0
SKR42;;14800;Abziehbare Vorsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager;ref:14800;1: Umlaufvermögenskonten;;0
SKR42;;14810;Entstandene Einfuhrumsatzsteuer;ref:14810;1: Umlaufvermögenskonten;;0
SKR42;;14820;Vorsteuer in Folgeperiode/im Folgejahr abziehbar;ref:14820;1: Umlaufvermögenskonten;;0
SKR42;;14830;Gegenkonto Vorsteuer § 4 Abs. 3 EStG;ref:14830;1: Umlaufvermögenskonten;;0
SKR42;;14840;Auflösung Vorsteuer aus Vorjahr § 4 Abs. 3 EStG;ref:14840;1: Umlaufvermögenskonten;;0
SKR42;;14850;Vorsteuer aus Investitionen § 4 Abs. 3 EStG;ref:14850;1: Umlaufvermögenskonten;;0
SKR42;;14860;Gegenkonto für Vorsteuer nach Durchschnittssatz nach § 23a UStG für § 4 Abs. 3 EStG;ref:14860;1: Umlaufvermögenskonten;;0
SKR42;;14870;Vorsteuer nach Durchschnittssatz nach § 23a UStG;ref:14870;1: Umlaufvermögenskonten;;0
SKR42;;14930;Verrechnungskonto Gewinnermittlung § 4 Abs. 3 EStG, nicht ergebniswirksam;ref:14930;1: Umlaufvermögenskonten;;0
SKR42;;14940;Wirtschaftsgüter des Umlaufvermögens nach § 4 Abs. 3 S. 4 EStG;ref:14940;1: Umlaufvermögenskonten;;0
SKR42;;14950;Verrechnungskonto Ist-Versteuerung;ref:14950;1: Umlaufvermögenskonten;;0
SKR42;;14960;Neutralisierung ertragswirksamer Sachverhalte für § 4 Abs. 3 EStG;ref:14960;1: Umlaufvermögenskonten;;0
SKR42;;14970;Verrechnungskonto erhaltene Anzahlungen bei Buchung über Debitorenkonto;ref:14970;1: Umlaufvermögenskonten;;0
SKR42;;14980;Überleitungskonto Kostenstellen;ref:14980;1: Umlaufvermögenskonten;;0
SKR42;;15000;Anteile an verbundenen Unternehmen (Umlaufvermögen);ref:15000;1: Umlaufvermögenskonten;;0
SKR42;;15100;Sonstige Wertpapiere;ref:15100;1: Umlaufvermögenskonten;;0
SKR42;;15200;Finanzwechsel;ref:15200;1: Umlaufvermögenskonten;;0
SKR42;;15500;Schecks;ref:15500;1: Umlaufvermögenskonten;;0
SKR42;;16000;Kasse;ref:16000;1: Umlaufvermögenskonten;;0
SKR42;;16100;Nebenkasse 1;ref:16100;1: Umlaufvermögenskonten;;0
SKR42;;16200;Nebenkasse 2;ref:16200;1: Umlaufvermögenskonten;;0
SKR42;;17000;Bank (Postbank);ref:17000;1: Umlaufvermögenskonten;;0
SKR42;;17100;Bank (Postbank 1);ref:17100;1: Umlaufvermögenskonten;;0
SKR42;;17200;Bank (Postbank 2);ref:17200;1: Umlaufvermögenskonten;;0
SKR42;;17300;Bank (Postbank 3);ref:17300;1: Umlaufvermögenskonten;;0
